IngredientName,IngredientType,CaloriesIn100g,ProteinIn100g,CarbsIn100g,FatIn100g,SpecificGravity
pizza bases,Grocery,0,0,0,0,0.00
plain flour,Check,364,12,86,2,0.55
potatoes,Vegetable,77,2,17,0,0.00
raisins,Grocery,299,3,79,0,0.00
red chilli,Vegetable,26,2,4,0,0.00
red lentils,Grocery,111,8,18,0,0.81
red pepper,Vegetable,40,2,9,0,0.00
red wine,Grocery,0,0,0,0,0.00
runner beans,Vegetable,27,2,3,0,0.00
salt,Check,0,0,0,0,0.00
sausages,Meat,301,12,2,27,0.00
self raising flour,Grocery,330,9,76,1,0.55
sesame oil,Check,884,0,0,100,0.92
sherry,Check,116,0,1,0,1.00
single cream,Dairy,133,3,4,12,0.00
smoked mackerel,Meat,310,22,0,25,0.00
soured cream,Dairy,205,3,4,20,1.03
soy sauce,Check,53,8,5,0,1.08
spaghetti,Grocery,104,4,22,7,0.00
spam,Grocery,289,15,3,24,0.00
spinach,Vegetable,23,3,4,0,0.00
spring greens,Vegetable,20,2,2,0,0.00
spring onions,Vegetable,32,2,7,0,0.00
stir in pasta sauce,Grocery,127,2,11,8,0.00
stock,Check,0,0,0,0,0.00
sugar,Check,387,0,100,0,1.59
sunflower seeds,Check,584,21,20,51,0.70
swedes,Vegetable,38,1,9,0,0.00
sweet potatoes,Vegetable,86,2,20,0,0.00
tagliatelli,Grocery,371,11,55,2,0.00
tahini,Grocery,595,17,21,54,0.00
thyme,Check,0,0,0,0,0.00
tofu,Grocery,110,16,2,5,0.00
tomato puree,Grocery,68,5,13,0,0.00
tomatoes,Vegetable,18,1,4,0,0.00
tortellini,Grocery,307,14,47,7,0.00
turmeric,Check,0,0,0,0,0.00
white rice,Grocery,151,3,34,0,0.00
whole grain mustard,Grocery,150,8,8,8,0.00
wine vinegar,Check,18,0,0,0,1.05
worcester sauce,Check,0,0,0,0,0.00
yoghurt,Dairy,59,10,4,0,0.00
